feature,mean_error,std_error
V22,0.5376466650673859,0.36960646335755154
V18,0.5095778908885338,0.5115576271178683
V19,0.47248658353105116,0.4390429258676732
Time,0.3901988551224915,0.31378785551312244
V26,0.372232932206453,0.30602511404316746
V25,0.3549381750183533,0.31897359598133723
V16,0.35409949084413483,0.4905780264122912
V24,0.33788563059481624,0.2802238071322083
V15,0.3127008976951358,0.29075778266889024
V11,0.26604566210594804,0.28371155818518473
V23,0.26109405353271153,0.5504528463069385
V21,0.23690598770569066,0.2393187782415569
V9,0.2365444216578687,0.32148078552421583
V17,0.23091176660335552,0.6728075512853577
V3,0.2283676665637536,0.33250335125128333
V20,0.2078888646884801,0.27762793690748816
V14,0.19532849359451254,0.44460488549044064
V2,0.18654536478200834,0.25544779955996955
V5,0.18561448027096947,0.23756717433497024
V27,0.18536975711818465,0.35027352065406875
V7,0.16889684209136843,0.28423367186101495
V1,0.16467206677380095,0.2632134923776959
V10,0.16458088872291077,0.3253478257207168
V6,0.1644580981456353,0.1875404107723352
V8,0.16412004636103295,0.2952510603233003
V13,0.1501930815167659,0.21076687597621913
V12,0.14704428830181523,0.36979488499198765
V4,0.1441050131198316,0.19658010058607628
V28,0.1282259763826619,0.3158105318243704
Amount,0.12184846060496553,0.20471199869129994
